density_log,density_lvls,wages_logs,wages_lvls,group,demo,year
4.87,129.71,2.59,13.34,noncollege,all,1980.0
4.97,143.78,2.65,14.16,noncollege,all,1980.0
5.05,155.33,2.61,13.59,noncollege,all,1980.0
5.15,172.46,2.61,13.6,noncollege,all,1980.0
5.46,235.5,2.72,15.12,noncollege,all,1980.0
5.77,320.5,2.7,14.92,noncollege,all,1980.0
6.14,462.92,2.8,16.46,noncollege,all,1980.0
6.45,635.76,2.73,15.26,noncollege,all,1980.0
6.8,895.73,2.7,14.9,noncollege,all,1980.0
7.07,1176.58,2.79,16.21,noncollege,all,1980.0
8.38,4357.12,2.7,14.95,noncollege,all,1980.0
1.71,5.54,2.56,12.95,noncollege,all,2000.0
2.98,19.77,2.59,13.34,noncollege,all,2000.0
3.35,28.54,2.56,12.88,noncollege,all,2000.0
3.65,38.36,2.57,13.12,noncollege,all,2000.0
3.87,47.97,2.58,13.25,noncollege,all,2000.0
4.09,59.98,2.59,13.38,noncollege,all,2000.0
4.26,70.95,2.6,13.52,noncollege,all,2000.0
4.42,83.47,2.65,14.14,noncollege,all,2000.0
4.64,103.28,2.7,14.89,noncollege,all,2000.0
4.82,124.07,2.65,14.21,noncollege,all,2000.0
4.93,138.11,2.61,13.67,noncollege,all,2000.0
4.98,145.04,2.6,13.5,noncollege,all,2000.0
5.08,161.19,2.65,14.22,noncollege,all,2000.0
5.2,181.15,2.67,14.44,noncollege,all,2000.0
5.58,266.11,2.75,15.67,noncollege,all,2000.0
5.9,366.31,2.75,15.62,noncollege,all,2000.0
6.35,573.36,2.79,16.31,noncollege,all,2000.0
6.65,771.7,2.78,16.12,noncollege,all,2000.0
7.04,1139.71,2.78,16.14,noncollege,all,2000.0
8.38,4357.12,2.73,15.38,noncollege,all,2000.0
1.63,5.08,2.59,13.28,noncollege,all,2015.0
2.95,19.1,2.58,13.17,noncollege,all,2015.0
3.32,27.7,2.55,12.84,noncollege,all,2015.0
3.61,37.08,2.58,13.2,noncollege,all,2015.0
3.85,46.86,2.56,12.88,noncollege,all,2015.0
4.06,58.16,2.6,13.46,noncollege,all,2015.0
4.24,69.17,2.57,13.02,noncollege,all,2015.0
4.4,81.46,2.6,13.47,noncollege,all,2015.0
4.6,99.87,2.64,13.99,noncollege,all,2015.0
4.79,120.84,2.6,13.53,noncollege,all,2015.0
4.89,133.37,2.59,13.39,noncollege,all,2015.0
4.98,144.86,2.56,12.99,noncollege,all,2015.0
5.08,160.73,2.57,13.05,noncollege,all,2015.0
5.14,170.8,2.58,13.17,noncollege,all,2015.0
5.44,230.7,2.67,14.51,noncollege,all,2015.0
5.79,325.42,2.68,14.52,noncollege,all,2015.0
6.21,497.63,2.7,14.85,noncollege,all,2015.0
6.63,754.26,2.73,15.41,noncollege,all,2015.0
7.04,1139.44,2.69,14.77,noncollege,all,2015.0
8.38,4357.12,2.66,14.3,noncollege,all,2015.0
